Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,HT1Readable,HT1Credible,HT1Positive,HT1Quality,HT1Creative,CT1Readable,CT1Credible,CT1Positive,CT1Quality,CT1Creative,HT2Readable,HT2Credible,HT2Positive,HT2Quality,HT2Creative,CT2Readable,CT2Credible,CT2Positive,CT2Quality,CT2Creative,HT3Readable,HT3Credible,HT3Positive,HT3Quality,HT3Creative,CT3Readable,CT3Credible,CT3Positive,CT3Quality,CT3Creative,AC1,AC2,AC3,AC4,AC5,HT4Readable,HT4Credible,HT4Positive,HT4Quality,HT4Creative,CT4Readable,CT4Credible,CT4Positive,CT4Quality,CT4Creative,HT5Readable,HT5Credible,HT5Positive,HT5Quality,HT5Creative,CT5Readable,CT5Credible,CT5Positive,CT5Quality,CT4Creative,SurveyID
3/17/2023 3:31,3/17/2023 3:35,IP Address,49.37.209.86,100,253,TRUE,3/17/2023 3:35,R_2COkmXxCGSezaO4,,,,,12.8996,80.2209,anonymous,EN,1,,0,0,,,,,,,,5,4,4,5,5,,,,,,5,4,4,5,5,,,,,,5,,,,4,4,4,4,4,4,5,4,5,4,4,,,,,,5,,4,4,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:35,IP Address,106.217.112.22,100,230,TRUE,3/17/2023 3:35,R_322ZRw5ooZw9hZ9,,,,,12.9634,77.5855,anonymous,EN,,,0,0,,,,,,,,5,5,5,5,5,,,,,,5,4,4,5,4,5,5,5,5,5,,,,,,4,4,,,5,5,5,5,4,5,,,,,,5,4,4,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:31,3/17/2023 3:36,IP Address,41.147.193.84,100,316,TRUE,3/17/2023 3:36,R_1hLLW9411uBLVtL,,,,,-26.3811,27.8376,anonymous,EN,1,,0,5,,,5,5,5,5,5,,,,,,,,,,,,,,2,,,,,,,,,2,2,1,4,4,4,4,4,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:33,3/17/2023 3:36,IP Address,102.89.46.69,100,217,TRUE,3/17/2023 3:36,R_1F8rK4aCUHvzFxG,,,,,6.4474,3.3903,anonymous,EN,0.899999976,,0,0,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,,,,,,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,,,,,,,,,,,5,5,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:36,IP Address,213.233.26.231,100,244,TRUE,3/17/2023 3:36,R_ZDiq2PJXWZCpmdb,,,,,41.8904,12.5126,anonymous,EN,1,,0,0,,,,,,,,5,4,5,4,5,,,,,,5,5,5,4,5,,,,,,5,4,4,4,5,4,4,4,4,4,,,,,,5,5,5,5,5,,,,,,5,5,5,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:34,3/17/2023 3:37,IP Address,213.120.114.241,100,139,TRUE,3/17/2023 3:37,R_2Qin19SPWhrzZwf,,,,,51.5277,0.0252,anonymous,EN,0.899999976,,0,0,,,2,,4,1,2,,,,,,4,4,,2,2,,,,,,4,4,4,4,2,,,,,,4,4,4,4,4,4,4,5,,2,,,,,,2,2,4,2,2,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:37,IP Address,102.23.96.11,100,327,TRUE,3/17/2023 3:37,R_1CBlawCLlwxKWW0,,,,,6.4474,3.3903,anonymous,EN,0.899999976,,0,50,,,,,,,,4,,4,,4,4,4,4,4,4,,,,,,4,,,,,,,,,,4,4,4,4,4,4,,4,4,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:37,IP Address,122.162.150.244,100,313,TRUE,3/17/2023 3:37,R_BJmAzaLlle1FxSx,,,,,28.6542,77.2373,anonymous,EN,0.899999976,,0,0,,,5,4,5,4,5,,,,,,,,,,,,,4,4,,,,,,,5,,4,5,5,4,4,4,4,4,,,,,,5,4,5,5,5,4,5,4,,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:34,3/17/2023 3:37,IP Address,49.37.227.19,100,217,TRUE,3/17/2023 3:37,R_Ck8bW09i7mGLg4x,,,,,9.9185,76.2558,anonymous,EN,1,,0,0,,,,,,,,,2,4,,4,4,4,4,4,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,2,,,,2,,,,,,,,,,,4,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:36,3/17/2023 3:38,IP Address,206.84.231.251,100,95,TRUE,3/17/2023 3:38,R_3qVwQPYcD19vk8C,,,,,20.0024,73.7945,anonymous,EN,0.899999976,,0,0,,,5,5,5,4,4,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,,,,,,5,4,4,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:33,3/17/2023 3:38,IP Address,146.70.51.34,100,267,TRUE,3/17/2023 3:38,R_2ffYPYhRZADwkOU,,,,,25.9092,-80.3927,anonymous,EN,1,,0,95,,,4,4,4,,4,,,,,,4,4,4,4,4,,,,,,4,4,4,4,4,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:37,3/17/2023 3:39,IP Address,223.228.197.198,100,117,TRUE,3/17/2023 3:39,R_10ZpoW06h4aLcjT,,,,,28.6542,77.2373,anonymous,EN,0.899999976,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:35,3/17/2023 3:39,IP Address,41.90.4.20,100,245,TRUE,3/17/2023 3:39,R_26kIczh4PCm9TLn,,,,,-1.2841,36.8155,anonymous,EN,1,,0,0,,,,,,,,5,4,5,4,4,5,5,5,5,5,,,,,,,,,,,,4,4,,2,4,4,4,4,4,,,,,,5,5,4,5,5,4,4,5,4,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:30,3/17/2023 3:39,IP Address,103.255.7.63,100,534,TRUE,3/17/2023 3:39,R_8nXoOba1UogFfgJ,,,,,33.6054,73.0354,anonymous,EN,0.899999976,,0,0,,,,,,,,5,5,5,4,4,,,,,,5,4,5,5,5,,,,,,2,2,,,,4,4,4,4,4,,,,,,4,4,5,4,4,2,2,2,1,2,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:36,3/17/2023 3:39,IP Address,197.253.196.158,100,209,TRUE,3/17/2023 3:39,R_3M6fOdhQFutEZ2u,,,,,33.5922,-7.6184,anonymous,EN,1,,0,0,,,,4,4,,4,,,,,,,,,,,,4,4,4,4,,,,,,2,2,,,4,2,2,2,2,2,,,,,,4,,4,,4,,,,,,4,4,4,,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:37,3/17/2023 3:40,IP Address,151.37.165.223,100,197,TRUE,3/17/2023 3:40,R_3fPITAt0pWWr5OX,,,,,41.8904,12.5126,anonymous,EN,1,,0,0,,,4,,5,2,,,,,,,4,4,4,,2,,,,,,,,,,,4,4,,,2,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,2,2,,2,2,SV_ehCPpnOdI0dWLkO
3/17/2023 3:37,3/17/2023 3:41,IP Address,169.149.226.199,100,212,TRUE,3/17/2023 3:41,R_WwEqQBxnCxdQj4J,,,,,31.1034,77.1659,anonymous,EN,1,,0,0,,,,,,,,5,2,4,4,4,5,4,4,4,4,,,,,,5,2,4,4,5,,,,,,4,5,5,5,,5,4,5,4,,,,,,,5,4,5,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:38,3/17/2023 3:41,IP Address,41.90.188.166,100,182,TRUE,3/17/2023 3:41,R_2TFxRgfROGnDusk,,,,,-1.2841,36.8155,anonymous,EN,1,,0,0,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,4,4,4,4,4,,,,,,5,5,5,5,5,,,,,,5,5,5,5,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:36,3/17/2023 3:42,IP Address,41.220.235.39,100,320,TRUE,3/17/2023 3:42,R_3CdnoRjyP4ZNR4J,,,,,-1.2841,36.8155,anonymous,EN,0.899999976,,0,0,,,,,,,,5,4,5,4,4,,,,,,5,5,5,5,5,5,5,5,4,1,,,,,,4,4,4,4,4,5,5,5,4,5,,,,,,,,,,,5,,5,4,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:33,3/17/2023 3:42,IP Address,103.255.7.63,100,551,TRUE,3/17/2023 3:42,R_1gtg4HhZxFhb7oV,,,,,33.6054,73.0354,anonymous,EN,0.899999976,,0,0,,,5,5,5,4,5,,,,,,,,,,,5,4,5,,5,5,,,5,5,,,,,,4,4,4,4,4,5,4,4,4,4,,,,,,,,,,,5,5,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:36,3/17/2023 3:42,IP Address,82.32.199.36,100,368,TRUE,3/17/2023 3:42,R_2aRk68ITW1W4ceT,,,,,52.4811,-2.1156,anonymous,EN,0.899999976,,0,0,,,4,4,5,4,5,,,,,,,,,,,4,,4,4,5,,,,,,5,,4,4,5,4,4,4,4,4,5,,4,,4,,,,,,2,,4,,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:36,3/17/2023 3:42,IP Address,37.111.159.140,100,391,TRUE,3/17/2023 3:42,R_QhKzYF3YjCfsOzL,,,,,31.5511,74.3437,anonymous,EN,1,,0,30,,,,,,,,4,,2,4,5,,,,,,2,,4,,5,,,,,,2,,5,,4,4,4,4,4,4,2,,4,,4,,,,,,2,,5,4,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:39,3/17/2023 3:42,IP Address,49.151.94.250,100,224,TRUE,3/17/2023 3:42,R_2QnwaIJfvzDJlOB,,,,,15.7993,121.4781,anonymous,EN,0.899999976,,0,0,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,,,,,,5,4,2,4,2,4,4,4,4,4,,,,,,5,4,4,4,4,,,,,,5,,,,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:43,IP Address,197.156.137.167,100,142,TRUE,3/17/2023 3:43,R_2dotLNe1uz24NED,,,,,-1.2841,36.8155,anonymous,EN,0.899999976,,0,0,,,,,,,,5,5,5,4,5,,,,,,5,5,5,4,4,,,,,,4,5,5,4,2,4,4,4,4,4,5,4,5,4,5,,,,,,5,4,5,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:39,3/17/2023 3:43,IP Address,93.45.80.192,100,211,TRUE,3/17/2023 3:43,R_ZrABp88QQxFjtC1,,,,,45.5336,10.2194,anonymous,EN,1,,0,0,,,,,,,,5,2,4,4,,5,5,5,5,,,,,,,4,5,,4,2,,,,,,2,4,4,4,4,,,,,,5,,5,5,5,,,,,,5,5,5,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:39,3/17/2023 3:43,IP Address,180.195.199.219,100,215,TRUE,3/17/2023 3:43,R_3Opu4z0wLBBvxrx,,,,,13.9363,121.1691,anonymous,EN,1,,0,0,,,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,,,,,,5,5,5,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:43,IP Address,146.70.51.114,100,673,TRUE,3/17/2023 3:43,R_1pMOyo3bFVYm5YF,,,,,25.9092,-80.3927,anonymous,EN,0.400000006,,0,95,,,5,4,5,5,4,,,,,,,,,,,5,2,4,5,5,5,5,4,5,5,,,,,,,4,5,5,4,,,,,,4,5,,5,5,,,,,,5,,4,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:43,IP Address,46.15.125.132,100,215,TRUE,3/17/2023 3:43,R_VVEAIEBRg06qWeB,,,,,59.955,10.859,anonymous,EN,0.899999976,,0,0,,,,,,,,4,2,5,4,5,,,,,,5,4,5,4,4,,,,,,5,5,5,4,2,4,4,4,4,4,,,,,,4,,4,5,5,,,,,,4,4,5,5,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:43,IP Address,82.1.37.254,100,170,TRUE,3/17/2023 3:43,R_1KrvisM8Xz9kMy8,,,,,52.6513,-1.0876,anonymous,EN,1,,0,0,,,,,,,,5,4,,,,,,,,,,2,,2,2,4,4,,,2,,,,,,4,4,4,4,4,4,,,2,2,,,,,,,2,2,1,2,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:43,IP Address,89.180.13.68,100,209,TRUE,3/17/2023 3:43,R_R30QuUa0p6jYJwZ,,,,,41.1849,-8.1484,anonymous,EN,1,,0,0,,,,,4,,,,,,,,,4,,,4,,,,,,,,,,,,,4,,,4,4,4,4,4,,,,,,,4,4,,4,,,,,,4,4,4,,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:43,IP Address,103.171.89.131,100,205,TRUE,3/17/2023 3:43,R_1BVplTovsgcieio,,,,,7.5998,125.9227,anonymous,EN,0.899999976,,0,0,,,1,1,1,1,1,,,,,,,,,,,1,5,4,5,5,,,,,,4,4,5,5,5,4,4,4,4,4,5,4,5,4,4,,,,,,4,4,,4,,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:44,IP Address,217.236.152.81,100,228,TRUE,3/17/2023 3:44,R_3HkwQ86g41YGnZ3,,,,,50.8713,8.0108,anonymous,EN,1,,0,0,,,4,,4,2,2,,,,,,5,4,4,,,,,,,,4,4,,,2,,,,,,4,4,4,4,4,,,,,,4,,4,4,5,,,,,,4,,4,,2,SV_ehCPpnOdI0dWLkO
3/17/2023 3:32,3/17/2023 3:44,IP Address,105.113.19.87,100,703,TRUE,3/17/2023 3:44,R_27vZHxvRouSnwRa,,,,,7.3782,3.9062,anonymous,EN,0.899999976,,0,0,,,5,5,5,4,5,,,,,,5,5,5,5,5,,,,,,5,5,4,4,2,,,,,,4,4,4,4,4,,,,,,5,4,4,4,5,,,,,,4,5,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:45,IP Address,156.155.199.45,100,215,TRUE,3/17/2023 3:45,R_ddkZenyPHfbRKXn,,,,,-30.7518,30.4541,anonymous,EN,0.899999976,,0,0,,,,,,,,4,,5,4,4,,,,,,4,,4,,4,,,,,,5,,4,,,4,4,4,4,4,,,,,,4,4,4,,,,,,,,5,,4,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:45,IP Address,105.112.51.240,100,237,TRUE,3/17/2023 3:45,R_8HWeKz6IU0BaFsl,,,,,6.4474,3.3903,anonymous,EN,1,,0,0,,,,,,,,5,5,5,5,5,5,5,5,4,4,,,,,,5,4,5,4,,,,,,,4,4,4,4,4,,,,,,5,4,2,,5,,,,,,5,5,4,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:45,IP Address,86.132.169.11,100,214,TRUE,3/17/2023 3:45,R_2uQzXbGJhWus1n4,,,,,50.8344,-0.1857,anonymous,EN,1,,0,0,,,5,2,5,2,2,,,,,,4,2,4,2,1,,,,,,,,,,,5,4,4,4,5,4,4,4,4,4,5,,4,,2,,,,,,,,,2,2,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:40,3/17/2023 3:45,IP Address,165.73.70.189,100,284,TRUE,3/17/2023 3:45,R_11bHPV6RudJzSxk,,,,,-29.8556,31.0449,anonymous,EN,1,,0,20,,,5,5,5,5,5,,,,,,5,5,5,5,5,,,,,,5,4,,4,,,,,,,4,4,4,4,4,,,,,,5,5,5,5,5,,,,,,5,4,5,5,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:45,IP Address,42.106.205.201,100,227,TRUE,3/17/2023 3:45,R_2330Z5EvTuMzZkE,,,,,19.0748,72.8856,anonymous,EN,1,,0,0,,,5,4,5,4,4,,,,,,,,,,,4,,5,4,4,,,,,,5,4,5,5,5,4,4,4,4,4,,,,,,5,,5,4,5,,,,,,5,2,,,5,SV_ehCPpnOdI0dWLkO
3/17/2023 3:31,3/17/2023 3:45,IP Address,196.191.60.10,100,807,TRUE,3/17/2023 3:45,R_1QfwdCeeVgQTB74,,,,,9.026,38.7439,anonymous,EN,1,,0,0,,,4,,4,4,,,,,,,4,4,4,4,4,,,,,,4,4,5,4,4,,,,,,4,4,4,4,4,,4,,4,4,,,,,,,,4,,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:44,3/17/2023 3:45,IP Address,82.1.37.254,100,65,TRUE,3/17/2023 3:45,R_3JqQBbOZGLE35HJ,,,,,52.6513,-1.0876,anonymous,EN,1,TRUE,83,30,3/17/2023 9:40,,2,2,2,1,1,,,,,,,,,,,,2,,2,2,4,4,2,2,2,,,,,,4,4,4,4,4,4,,4,2,2,,,,,,,2,,2,2,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:39,3/17/2023 3:45,IP Address,112.200.229.225,100,358,TRUE,3/17/2023 3:45,R_1eIz3qrmgcXt8TL,,,,,14.6477,121.0491,anonymous,EN,1,,0,0,,,5,4,5,4,5,,,,,,,,,,,5,4,5,4,5,5,4,,,,,,,,,4,4,4,4,4,5,5,5,4,5,,,,,,4,2,4,2,4,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:42,3/17/2023 3:46,IP Address,46.114.182.167,100,201,TRUE,3/17/2023 3:46,R_2dhIY3T9TaG4JrH,,,,,52.5363,13.4169,anonymous,EN,0.899999976,,0,0,,,,,,,,,,,,,,,,,,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,SV_ehCPpnOdI0dWLkO
3/17/2023 3:41,3/17/2023 3:46,IP Address,117.98.108.23,100,264,TRUE,3/17/2023 3:46,R_2414X5aVlPKNUQb,,,,,28.6542,77.2373,anonymous,EN,1,,0,0,,,4,4,5,4,,,,,,,,,,,,4,4,5,5,5,5,4,5,,2,,,,,,4,4,1,2,,,,,,,5,5,4,4,5,4,4,,4,5,,,,,,SV_ehCPpnOdI0dWLkO
3/17/2023 3:42,3/17/2023 3:46,IP Address,223.25.61.204,100,234,TRUE,3/17/2023 3:46,R_5jygdHqWHVGJstP,,,,,14.2156,121.1633,anonymous,EN,0.899999976,,0,0,,,,,,,,4,4,,2,4,,,,,,4,4,2,,,,,,,,4,4,2,2,,4,4,4,4,4,,,,,,4,4,4,4,5,5,5,4,4,4,,,,,,SV_ehCPpnOdI0dWLkO
